node_id	node_namespace	node_label	node_definition	node_synonyms	node_dbxrefs
 HuBMAP C000001	HubMAP	assay	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.		
 HuBMAP C000002	HubMAP	imaging_assay	An assay that produces a picture of an entity.		
 HuBMAP C000003	HubMAP	imaging_technology	imaging technology		
 HuBMAP C000004	HubMAP	image_processing	image processing method		
 HuBMAP C000005	HubMAP	primary	primary		
 HuBMAP C000006	HubMAP	vis-only	visualization only		
 HuBMAP C000007	HubMAP	pii	personally identifiable information		
 HuBMAP C000008	HubMAP	vitesse-hints	identifiers for Vitesse visualization		
 HuBMAP C000009	HubMAP	biospecimen	resolution of assay (size of biospecimen)		
 HuBMAP C000010	HubMAP	single-cell-specimen	single cell specimen		
 HuBMAP C000011	HubMAP	bulk-specimen	bulk specimen		
 HuBMAP C000012	HubMAP	spatial	spatial/3D		
 HuBMAP C000013	HubMAP	AF	Autofluorescence Microscopy		
 HuBMAP C000014	HubMAP	AF_pyramid	Autofluorescence Microscopy [Image Pyramid]		
 HuBMAP C000015	HubMAP	pyramid_representation	An image processing method where an image is decomposed into multi-resolution representations allowing for analysis and manipulation of the image over a range of spatial scales.		
 HuBMAP C000016	HubMAP	pyramid	vitesse hint: pyramid		
 HuBMAP C000017	HubMAP	ATACseq	Assay for Transposase Accessible Chromatin with High-Throughput Sequencing		
 HuBMAP C000018	HubMAP	ATACseq-bulk	Bulk ATAC-seq		
 HuBMAP C000019	HubMAP	algorithm	
A plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. 		
 HuBMAP C000020	HubMAP	Burrows-Wheeler_Aligner_algorithm	An algorithm which performs mapping of low-divergent sequences against a large reference genome, such as the human genome.		
 HuBMAP C000021	HubMAP	DNA_analysis	Sequence Analysis, DNA		
 HuBMAP C000022	HubMAP	ChIP-Seq	A molecular genetic technique that combines chromatin immunoprecipitation (ChIP) with massively parallel DNA sequencing to map the binding sites of DNA-associated proteins in a sample of cells.		
 HuBMAP C000023	HubMAP	analysis_method	A means, manner of procedure, or systematic course of actions that are performed in order to examine and interpret an event or entity.		
 HuBMAP C000024	HubMAP	MACS2	Model-based Analysis of ChIP-seq		
 HuBMAP C000025	HubMAP	bulk_atacseq 	ATACseq-bulk_BWA_MACS2		
 HuBMAP C000026	HubMAP	multiplexed_fluorescent_antibody_imaging_assay	An imaging assay in which multiple cycles consisting of fluorescent labeling, imaging, and fluorophor deactivation are used to detect multiple proteins and their locations in a given sample of tissues or cells.		
 HuBMAP C000027	HubMAP	cell-dive	A multiplexed fluorescent antibody imaging assay that involves an iterative staining, imaging and dye inactivation workflow for over 60 biomarkers on a single fixed tissue section.		
 HuBMAP C000028	HubMAP	sprm	Spatial Process Relationship Mapping		
 HuBMAP C000029	HubMAP	anndata	Vitesse hint		
 HuBMAP C000030	HubMAP	is_image	Vitesse hint		
 HuBMAP C000031	HubMAP	is_tiled	Vitesse hint		
 HuBMAP C000032	HubMAP	celldive_deepcell	CellDIVE [DeepCell + SPRM]		
 HuBMAP C000033	HubMAP	CODEX	co-detection by indexing assay		
 HuBMAP C000034	HubMAP	CODEX2	CODEX (CODEX2 assay type)		
 HuBMAP C000035	HubMAP	cytokit	A single-cell analysis toolkit for high dimensional fluorescent microscopy imaging		
 HuBMAP C000036	HubMAP	codex_cytokit_v1	CODEX [Cytokit + SPRM]		
 HuBMAP C000037	HubMAP	codex_cytokit	CODEX [Cytokit + SPRM]		
 HuBMAP C000038	HubMAP	FISH	
Fluorescence in situ hybridization		
 HuBMAP C000039	HubMAP	DART-FISH	TMT-LC-MS		
 HuBMAP C000040	HubMAP	image_pyramid 	nan		
 HuBMAP C000041	HubMAP	IMC	imaging mass cytometry assay		
 HuBMAP C000042	HubMAP	IMC2D	Imaging Mass Cytometry (2D)		
 HuBMAP C000043	HubMAP	IMC3D	Imaging Mass Cytometry (3D)		
 HuBMAP C000044	HubMAP	IMC2D_pyramid 	Imaging Mass Cytometry (2D) [Image Pyramid]		
 HuBMAP C000045	HubMAP	IMC3D_pyramid 	Imaging Mass Cytometry (3D) [Image Pyramid]		
 HuBMAP C000046	HubMAP	mass_spectrometry	An analytical technique wherein ions are separated according to their ratio of charge to mass. From the mass spectrum produced, the atomic weight of the particle can be deduced.		
 HuBMAP C000047	HubMAP	LC	Liquid Chromatography Mass Spectrometry 		
 HuBMAP C000048	HubMAP	labeled	Isotope-Coded Protein Label 		
 HuBMAP C000049	HubMAP	label-free	Label-Free Mass Spectrometry		
 HuBMAP C000050	HubMAP	lc-ms_label-free	Label-free LC-MS		
 HuBMAP C000051	HubMAP	lc-ms_labeled	Labeled LC-MS		
 HuBMAP C000052	HubMAP	LC-MS/MS	Liquid Chromatography/Tandem Mass Spectrometry		
 HuBMAP C000053	HubMAP	targeted	targeted sequencing		
 HuBMAP C000054	HubMAP	untargeted	untargeted (metabolomics)		
 HuBMAP C000055	HubMAP	lc-ms-ms_label-free	Label-free LC-MS/MS		
 HuBMAP C000056	HubMAP	lc-ms-ms_labeled	Labeled LC-MS/MS		
 HuBMAP C000057	HubMAP	LC-MS-untargeted	Untargeted LC-MS		
 HuBMAP C000058	HubMAP	microscopy	nan		
 HuBMAP C000059	HubMAP	Lightsheet	Lightsheet Microscopy		
 HuBMAP C000060	HubMAP	maldi	Matrix-Assisted Laser Desorption Ionization Mass Spectrometry		
 HuBMAP C000061	HubMAP	MALDI-IMS	MALDI IMS		
 HuBMAP C000062	HubMAP	MALDI-IMS_pyramid	MALDI IMS [Image Pyramid]		
 HuBMAP C000063	HubMAP	SIMS-IMS	SIMS-IMS		
 HuBMAP C000064	HubMAP	MIBI	Multiplex Ion Beam Imaging		
 HuBMAP C000065	HubMAP	mibi_deepcell	Multiplex Ion Beam Imaging [DeepCell + SPRM]		
 HuBMAP C000066	HubMAP	NanoDESI	NanoDESI 		
 HuBMAP C000067	HubMAP	NanoDESI_pyramid	NanoDESI [Image Pyramid]		
 HuBMAP C000068	HubMAP	NanoPOTS	NanoPOTS 		
 HuBMAP C000069	HubMAP	NanoPOTS_pyramid	NanoPOTS [Image Pyramid]		
 HuBMAP C000070	HubMAP	MxIF	Multiplexed IF Microscopy		
 HuBMAP C000071	HubMAP	MxIF_pyramid	Multiplexed IF Microscopy [Image Pyramid]		
 HuBMAP C000072	HubMAP	tissue_stain	nan		
 HuBMAP C000073	HubMAP	Periodic_acid_Schiff stain	nan		
 HuBMAP C000074	HubMAP	PAS	PAS Stained Microscopy		
 HuBMAP C000075	HubMAP	PAS_pyramid 	PAS Stained Microscopy [Image Pyramid]		
 HuBMAP C000076	HubMAP	RNA-seq	Whole Transcriptome Sequencing		
 HuBMAP C000077	HubMAP	bulk-RNA	Bulk RNA-seq		
 HuBMAP C000078	HubMAP	Salmon	Salmon transcript quantification		
