relation_id	relation_label	inverse_relation_label
http://purl.obolibrary.org/obo/RO_0002007	bounding layer of	inverse bounding layer of
http://purl.obolibrary.org/obo/RO_0002371	attached to	inverse attached to
http://purl.obolibrary.org/obo/RO_0001015	location of	located in
http://purl.obolibrary.org/obo/RO_0002572	luminal space of	inverse luminal space of
http://purl.obolibrary.org/obo/pr#lacks_part	lacks_part	inverse lacks_part
http://purl.obolibrary.org/obo/RO_0002372	has muscle origin	inverse has muscle origin
http://purl.obolibrary.org/obo/RO_0002226	develops in	inverse develops in
http://purl.obolibrary.org/obo/doid#derives_from	derives_from	inverse derives_from
http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies	indirectly_supplies	inverse indirectly_supplies
http://purl.obolibrary.org/obo/cl#lacks_part	lacks_part	inverse lacks_part
http://purl.obolibrary.org/obo/RO_0002002	has 2D boundary	inverse has 2D boundary
http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to	proximally connected to	inverse proximally connected to
http://purl.obolibrary.org/obo/RO_0002488	existence starts during	inverse existence starts during
http://purl.obolibrary.org/obo/RO_0002494	transformation of	inverse transformation of
http://purl.obolibrary.org/obo/RO_0000086	has quality	inverse has quality
http://purl.obolibrary.org/obo/RO_0002177	attached to part of	inverse attached to part of
http://purl.obolibrary.org/obo/uberon/core#channel_for	channel for	inverse channel for
http://purl.obolibrary.org/obo/RO_0002202	develops from	develops into
http://purl.obolibrary.org/obo/RO_0003302	causes or contributes to condition	inverse causes or contributes to condition
http://purl.obolibrary.org/obo/BSPO_0000099	posterior_to	inverse posterior_to
http://purl.obolibrary.org/obo/BSPO_0001115	postaxialmost_part_of	inverse postaxialmost_part_of
http://purl.obolibrary.org/obo/nbo#by_means	by_means	inverse by_means
http://purl.obolibrary.org/obo/RO_0002351	has member	inverse has member
http://purl.obolibrary.org/obo/BSPO_0000100	proximal_to	inverse proximal_to
http://purl.obolibrary.org/obo/RO_0002490	existence overlaps	inverse existence overlaps
http://purl.obolibrary.org/obo/BSPO_0015202	aboral_to	inverse aboral_to
http://purl.obolibrary.org/obo/BSPO_0015102	in_ventral_side_of	inverse in_ventral_side_of
http://purl.obolibrary.org/obo/so#has_origin	has_origin	inverse has_origin
http://purl.obolibrary.org/obo/RO_0002087	immediately preceded by	inverse immediately preceded by
http://purl.obolibrary.org/obo/RO_0002150	continuous with	inverse continuous with
http://purl.obolibrary.org/obo/RO_0002302	is treated by substance	is substance that treats
http://purl.obolibrary.org/obo/uberon/core#site_of	site_of	inverse site_of
http://purl.obolibrary.org/obo/BSPO_0005001	intersects_midsagittal_plane_of	inverse intersects_midsagittal_plane_of
http://purl.obolibrary.org/obo/RO_0002551	has skeleton	skeleton of
http://purl.obolibrary.org/obo/RO_0002314	inheres in part of	inverse inheres in part of
http://purl.obolibrary.org/obo/RO_0000057	has participant	participates in
http://purl.obolibrary.org/obo/RO_0002497	existence ends during or before	inverse existence ends during or before
http://www.w3.org/2000/01/rdf-schema#subClassOf	Subclass Of	inverse Subclass Of
http://purl.obolibrary.org/obo/uberon/core#subdivision_of	subdivision of	inverse subdivision of
http://purl.obolibrary.org/obo/CLO_0000015	derives from patient having disease	inverse derives from patient having disease
http://purl.obolibrary.org/obo/uberon/core#distally_connected_to	distally connected to	inverse distally connected to
http://purl.obolibrary.org/obo/RO_0003001	produced by	produces
http://purl.obolibrary.org/obo/uberon/core#anastomoses_with	anastomoses with	inverse anastomoses with
http://purl.obolibrary.org/obo/RO_0000081	role of	has role
http://purl.obolibrary.org/obo/core#distally_connected_to	distally_connected_to	inverse distally_connected_to
http://purl.obolibrary.org/obo/BSPO_0000108	superficial_to	inverse superficial_to
http://purl.obolibrary.org/obo/RO_0002131	overlaps	inverse overlaps
http://purl.obolibrary.org/obo/BFO_0000067	contains process	inverse contains process
http://purl.obolibrary.org/obo/RO_0000085	has function	function of
http://purl.obolibrary.org/obo/RO_0002387	has potential to develop into	inverse has potential to develop into
http://purl.obolibrary.org/obo/RO_0002492	existence ends during	inverse existence ends during
http://purl.obolibrary.org/obo/RO_0002221	surrounds	surrounded by
http://purl.obolibrary.org/obo/uberon/core#in_innermost_side_of	in_innermost_side_of	inverse in_innermost_side_of
http://purl.obolibrary.org/obo/RO_0002204	gene product of	has gene product
http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to	sexually_homologous_to	inverse sexually_homologous_to
http://purl.obolibrary.org/obo/uberon/core#conduit_for	conduit for	inverse conduit for
http://purl.obolibrary.org/obo/RO_0002223	starts	starts with
http://purl.obolibrary.org/obo/BSPO_0001108	distalmost_part_of	inverse distalmost_part_of
http://purl.obolibrary.org/obo/BSPO_0001113	preaxialmost_part_of	inverse preaxialmost_part_of
http://purl.obolibrary.org/obo/CLO_0037207	derived from organism	inverse derived from organism
http://purl.obolibrary.org/obo/RO_0002254	has developmental contribution from	inverse has developmental contribution from
http://purl.obolibrary.org/obo/BSPO_0015101	in_dorsal_side_of	inverse in_dorsal_side_of
http://purl.obolibrary.org/obo/RO_0003000	produces	produced by
http://purl.obolibrary.org/obo/RO_0002328	functionally related to	inverse functionally related to
http://purl.obolibrary.org/obo/RO_0000079	function of	has function
http://purl.obolibrary.org/obo/cl#lacks_plasma_membrane_part	lacks_plasma_membrane_part	inverse lacks_plasma_membrane_part
http://purl.obolibrary.org/obo/RO_0002207	directly develops from	inverse directly develops from
http://purl.obolibrary.org/obo/RO_0002180	has component	inverse has component
