node_id	node_namespace	node_label	node_definition	node_synonyms	node_dbxrefs
 HuBMAP C000001	HubMAP	Ontology_Consumer	application that consumes the ontology		
 HuBMAP C000002	HubMAP	Search_API	nan		
 HuBMAP C000003	HubMAP	Bulk_File_API	nan		
 HuBMAP C000004	HubMAP	Assay	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.		
 HuBMAP C000005	HubMAP	Sample	sample type		
 HuBMAP C000006	HubMAP	Organ	organ		
 HuBMAP C000007	HubMAP	Imaging_Assay	An assay that produces a picture of an entity.		
 HuBMAP C000008	HubMAP	Sequencing_Assay	An assay that uses chemical or biochemical means to infer the sequence of a biomaterial		
 HuBMAP C000009	HubMAP	Clinical_Imaging	Any method that uses a visual display of structural or functional patterns of organs or tissues for diagnostic evaluation.		
 HuBMAP C000010	HubMAP	Mass_Spectrometry	An analytical technique wherein ions are separated according to their ratio of charge to mass. From the mass spectrum produced, the atomic weight of the particle can be deduced.		
 HuBMAP C000011	HubMAP	DNA_Analysis	Molecular biology procedures qualifying or quantifying DNA. 		
 HuBMAP C000012	HubMAP	RNA_Analysis	Molecular biology procedures qualifying or quantifying RNA. 		
 HuBMAP C000013	HubMAP	Protein_Analysis	nan		
 HuBMAP C000014	HubMAP	Spatial_Analysis	nan		
 HuBMAP C000015	HubMAP	Multiplexed_Fluorescent_Antibody_Imaging_Assay	An imaging assay in which multiple cycles consisting of fluorescent labeling, imaging, and fluorophor deactivation are used to detect multiple proteins and their locations in a given sample of tissues or cells.		
 HuBMAP C000016	HubMAP	FISH	
Fluorescence in situ hybridization		
 HuBMAP C000017	HubMAP	Vitessce_Hint	identifier for Vitesse visualization		
 HuBMAP C000018	HubMAP	pyramid	Vitessce hint		
 HuBMAP C000019	HubMAP	anndata	Vitessce hint		
 HuBMAP C000020	HubMAP	is_image	Vitessce hint		
 HuBMAP C000021	HubMAP	is_tiled	Vitessce hint		
 HuBMAP C000022	HubMAP	is_sc	Vitessce hint		
 HuBMAP C000023	HubMAP	rna	Vitessce hint		
 HuBMAP C000024	HubMAP	atac	Vitessce hint		
 HuBMAP C000025	HubMAP	codex_vitessce_hint	Vitessce hint		
 HuBMAP C000026	HubMAP	maldi_vitessce_hint	Vitessce hint		
 HuBMAP C000027	HubMAP	Image_Processing	image processing method		
 HuBMAP C000028	HubMAP	Pyramid_Representation	An image processing method where an image is decomposed into multi-resolution representations allowing for analysis and manipulation of the image over a range of Spatial scales.		
 HuBMAP C000029	HubMAP	Primary	Primary assays are the direct output of assay equipment--e.g., image files from microscopy. Data from a primary assay (e.g., CODEX) can be further analyzed by a bioinformatics pipeline (e.g., SPRM).		
 HuBMAP C000030	HubMAP	Vis-Only	visualization only - source data is not available		
